,motor1_current,motor2_current,motor3_current,motor4_current,motor5_current,motor6_current,total_coal_quality,instantaneous_coal_quality
94,1,1,1,2,1,2,2,2
95,1,1,1,2,1,2,2,3
96,1,1,1,2,1,2,3,1
97,1,1,1,2,1,2,3,2
98,1,1,1,2,1,2,3,3
99,1,1,1,2,1,3,1,1
100,1,1,1,2,1,3,1,2
101,1,1,1,2,1,3,1,3
102,1,1,1,2,1,3,2,1
103,1,1,1,2,1,3,2,2
104,1,1,1,2,1,3,2,3
105,1,1,1,2,1,3,3,1
106,1,1,1,2,1,3,3,2
107,1,1,1,2,1,3,3,3
108,1,1,1,2,2,1,1,1
109,1,1,1,2,2,1,1,2
110,1,1,1,2,2,1,1,3
111,1,1,1,2,2,1,2,1
112,1,1,1,2,2,1,2,2
113,1,1,1,2,2,1,2,3
114,1,1,1,2,2,1,3,1
115,1,1,1,2,2,1,3,2
116,1,1,1,2,2,1,3,3
117,1,1,1,2,2,2,1,1
118,1,1,1,2,2,2,1,2
119,1,1,1,2,2,2,1,3
120,1,1,1,2,2,2,2,1
121,1,1,1,2,2,2,2,2
122,1,1,1,2,2,2,2,3
123,1,1,1,2,2,2,3,1
124,1,1,1,2,2,2,3,2
125,1,1,1,2,2,2,3,3
126,1,1,1,2,2,3,1,1
127,1,1,1,2,2,3,1,2
128,1,1,1,2,2,3,1,3
129,1,1,1,2,2,3,2,1
130,1,1,1,2,2,3,2,2
131,1,1,1,2,2,3,2,3
132,1,1,1,2,2,3,3,1
133,1,1,1,2,2,3,3,2
134,1,1,1,2,2,3,3,3
135,1,1,1,2,3,1,1,1
136,1,1,1,2,3,1,1,2
137,1,1,1,2,3,1,1,3
138,1,1,1,2,3,1,2,1
139,1,1,1,2,3,1,2,2
140,1,1,1,2,3,1,2,3
141,1,1,1,2,3,1,3,1
142,1,1,1,2,3,1,3,2
143,1,1,1,2,3,1,3,3
144,1,1,1,2,3,2,1,1
145,1,1,1,2,3,2,1,2
146,1,1,1,2,3,2,1,3
147,1,1,1,2,3,2,2,1
148,1,1,1,2,3,2,2,2
149,1,1,1,2,3,2,2,3
150,1,1,1,2,3,2,3,1
151,1,1,1,2,3,2,3,2
152,1,1,1,2,3,2,3,3
153,1,1,1,2,3,3,1,1
154,1,1,1,2,3,3,1,2
155,1,1,1,2,3,3,1,3
156,1,1,1,2,3,3,2,1
157,1,1,1,2,3,3,2,2
158,1,1,1,2,3,3,2,3
159,1,1,1,2,3,3,3,1
160,1,1,1,2,3,3,3,2
161,1,1,1,2,3,3,3,3
162,1,1,1,3,1,1,1,1
163,1,1,1,3,1,1,1,2
164,1,1,1,3,1,1,1,3
165,1,1,1,3,1,1,2,1
166,1,1,1,3,1,1,2,2
167,1,1,1,3,1,1,2,3
168,1,1,1,3,1,1,3,1
169,1,1,1,3,1,1,3,2
170,1,1,1,3,1,1,3,3
171,1,1,1,3,1,2,1,1
172,1,1,1,3,1,2,1,2
173,1,1,1,3,1,2,1,3
174,1,1,1,3,1,2,2,1
175,1,1,1,3,1,2,2,2
176,1,1,1,3,1,2,2,3
177,1,1,1,3,1,2,3,1
178,1,1,1,3,1,2,3,2
179,1,1,1,3,1,2,3,3
180,1,1,1,3,1,3,1,1
181,1,1,1,3,1,3,1,2
182,1,1,1,3,1,3,1,3
183,1,1,1,3,1,3,2,1
184,1,1,1,3,1,3,2,2
185,1,1,1,3,1,3,2,3
186,1,1,1,3,1,3,3,1
187,1,1,1,3,1,3,3,2
188,1,1,1,3,1,3,3,3
189,1,1,1,3,2,1,1,1
190,1,1,1,3,2,1,1,2
191,1,1,1,3,2,1,1,3
192,1,1,1,3,2,1,2,1
193,1,1,1,3,2,1,2,2
194,1,1,1,3,2,1,2,3
195,1,1,1,3,2,1,3,1
196,1,1,1,3,2,1,3,2
197,1,1,1,3,2,1,3,3
198,1,1,1,3,2,2,1,1
199,1,1,1,3,2,2,1,2
200,1,1,1,3,2,2,1,3
201,1,1,1,3,2,2,2,1
202,1,1,1,3,2,2,2,2
203,1,1,1,3,2,2,2,3
204,1,1,1,3,2,2,3,1
205,1,1,1,3,2,2,3,2
206,1,1,1,3,2,2,3,3
207,1,1,1,3,2,3,1,1
208,1,1,1,3,2,3,1,2
209,1,1,1,3,2,3,1,3
210,1,1,1,3,2,3,2,1
211,1,1,1,3,2,3,2,2
212,1,1,1,3,2,3,2,3
213,1,1,1,3,2,3,3,1
214,1,1,1,3,2,3,3,2
215,1,1,1,3,2,3,3,3
216,1,1,1,3,3,1,1,1
217,1,1,1,3,3,1,1,2
218,1,1,1,3,3,1,1,3
219,1,1,1,3,3,1,2,1
220,1,1,1,3,3,1,2,2
221,1,1,1,3,3,1,2,3
222,1,1,1,3,3,1,3,1
223,1,1,1,3,3,1,3,2
224,1,1,1,3,3,1,3,3
225,1,1,1,3,3,2,1,1
226,1,1,1,3,3,2,1,2
227,1,1,1,3,3,2,1,3
228,1,1,1,3,3,2,2,1
229,1,1,1,3,3,2,2,2
230,1,1,1,3,3,2,2,3
231,1,1,1,3,3,2,3,1
232,1,1,1,3,3,2,3,2
233,1,1,1,3,3,2,3,3
234,1,1,1,3,3,3,1,1
235,1,1,1,3,3,3,1,2
236,1,1,1,3,3,3,1,3
237,1,1,1,3,3,3,2,1
238,1,1,1,3,3,3,2,2
239,1,1,1,3,3,3,2,3
240,1,1,1,3,3,3,3,1
241,1,1,1,3,3,3,3,2
242,1,1,1,3,3,3,3,3
243,1,1,2,1,1,1,1,1
244,1,1,2,1,1,1,1,2
245,1,1,2,1,1,1,1,3
246,1,1,2,1,1,1,2,1
247,1,1,2,1,1,1,2,2
248,1,1,2,1,1,1,2,3
249,1,1,2,1,1,1,3,1
250,1,1,2,1,1,1,3,2
251,1,1,2,1,1,1,3,3
252,1,1,2,1,1,2,1,1
253,1,1,2,1,1,2,1,2
254,1,1,2,1,1,2,1,3
255,1,1,2,1,1,2,2,1
256,1,1,2,1,1,2,2,2
257,1,1,2,1,1,2,2,3
258,1,1,2,1,1,2,3,1
259,1,1,2,1,1,2,3,2
260,1,1,2,1,1,2,3,3
261,1,1,2,1,1,3,1,1
262,1,1,2,1,1,3,1,2
263,1,1,2,1,1,3,1,3
264,1,1,2,1,1,3,2,1
265,1,1,2,1,1,3,2,2
266,1,1,2,1,1,3,2,3
267,1,1,2,1,1,3,3,1
268,1,1,2,1,1,3,3,2
269,1,1,2,1,1,3,3,3
270,1,1,2,1,2,1,1,1
271,1,1,2,1,2,1,1,2
272,1,1,2,1,2,1,1,3
273,1,1,2,1,2,1,2,1
274,1,1,2,1,2,1,2,2
275,1,1,2,1,2,1,2,3
276,1,1,2,1,2,1,3,1
277,1,1,2,1,2,1,3,2
278,1,1,2,1,2,1,3,3
279,1,1,2,1,2,2,1,1
280,1,1,2,1,2,2,1,2
281,1,1,2,1,2,2,1,3
282,1,1,2,1,2,2,2,1
283,1,1,2,1,2,2,2,2
284,1,1,2,1,2,2,2,3
285,1,1,2,1,2,2,3,1
286,1,1,2,1,2,2,3,2
287,1,1,2,1,2,2,3,3
288,1,1,2,1,2,3,1,1
289,1,1,2,1,2,3,1,2
290,1,1,2,1,2,3,1,3
291,1,1,2,1,2,3,2,1
292,1,1,2,1,2,3,2,2
293,1,1,2,1,2,3,2,3
294,1,1,2,1,2,3,3,1
295,1,1,2,1,2,3,3,2
296,1,1,2,1,2,3,3,3
297,1,1,2,1,3,1,1,1
298,1,1,2,1,3,1,1,2
299,1,1,2,1,3,1,1,3
300,1,1,2,1,3,1,2,1
301,1,1,2,1,3,1,2,2
302,1,1,2,1,3,1,2,3
303,1,1,2,1,3,1,3,1
304,1,1,2,1,3,1,3,2
305,1,1,2,1,3,1,3,3
306,1,1,2,1,3,2,1,1
307,1,1,2,1,3,2,1,2
308,1,1,2,1,3,2,1,3
309,1,1,2,1,3,2,2,1
310,1,1,2,1,3,2,2,2
311,1,1,2,1,3,2,2,3
312,1,1,2,1,3,2,3,1
313,1,1,2,1,3,2,3,2
314,1,1,2,1,3,2,3,3
315,1,1,2,1,3,3,1,1
316,1,1,2,1,3,3,1,2
317,1,1,2,1,3,3,1,3
318,1,1,2,1,3,3,2,1
319,1,1,2,1,3,3,2,2
320,1,1,2,1,3,3,2,3
321,1,1,2,1,3,3,3,1
322,1,1,2,1,3,3,3,2
323,1,1,2,1,3,3,3,3
324,1,1,2,2,1,1,1,1
325,1,1,2,2,1,1,1,2
326,1,1,2,2,1,1,1,3
327,1,1,2,2,1,1,2,1
328,1,1,2,2,1,1,2,2
329,1,1,2,2,1,1,2,3
330,1,1,2,2,1,1,3,1
331,1,1,2,2,1,1,3,2
332,1,1,2,2,1,1,3,3
333,1,1,2,2,1,2,1,1
334,1,1,2,2,1,2,1,2
335,1,1,2,2,1,2,1,3
336,1,1,2,2,1,2,2,1
337,1,1,2,2,1,2,2,2
338,1,1,2,2,1,2,2,3
339,1,1,2,2,1,2,3,1
340,1,1,2,2,1,2,3,2
341,1,1,2,2,1,2,3,3
342,1,1,2,2,1,3,1,1
343,1,1,2,2,1,3,1,2
344,1,1,2,2,1,3,1,3
345,1,1,2,2,1,3,2,1
346,1,1,2,2,1,3,2,2
347,1,1,2,2,1,3,2,3
348,1,1,2,2,1,3,3,1
349,1,1,2,2,1,3,3,2
350,1,1,2,2,1,3,3,3
351,1,1,2,2,2,1,1,1
352,1,1,2,2,2,1,1,2
353,1,1,2,2,2,1,1,3
354,1,1,2,2,2,1,2,1
355,1,1,2,2,2,1,2,2
356,1,1,2,2,2,1,2,3
357,1,1,2,2,2,1,3,1
358,1,1,2,2,2,1,3,2
359,1,1,2,2,2,1,3,3
360,1,1,2,2,2,2,1,1
361,1,1,2,2,2,2,1,2
362,1,1,2,2,2,2,1,3
363,1,1,2,2,2,2,2,1
364,1,1,2,2,2,2,2,2
365,1,1,2,2,2,2,2,3
366,1,1,2,2,2,2,3,1
367,1,1,2,2,2,2,3,2
368,1,1,2,2,2,2,3,3
369,1,1,2,2,2,3,1,1
370,1,1,2,2,2,3,1,2
371,1,1,2,2,2,3,1,3
372,1,1,2,2,2,3,2,1
373,1,1,2,2,2,3,2,2
374,1,1,2,2,2,3,2,3
375,1,1,2,2,2,3,3,1
376,1,1,2,2,2,3,3,2
377,1,1,2,2,2,3,3,3
378,1,1,2,2,3,1,1,1
379,1,1,2,2,3,1,1,2
380,1,1,2,2,3,1,1,3
381,1,1,2,2,3,1,2,1
382,1,1,2,2,3,1,2,2
383,1,1,2,2,3,1,2,3
384,1,1,2,2,3,1,3,1
385,1,1,2,2,3,1,3,2
386,1,1,2,2,3,1,3,3
387,1,1,2,2,3,2,1,1
388,1,1,2,2,3,2,1,2
389,1,1,2,2,3,2,1,3
390,1,1,2,2,3,2,2,1
391,1,1,2,2,3,2,2,2
392,1,1,2,2,3,2,2,3
393,1,1,2,2,3,2,3,1
394,1,1,2,2,3,2,3,2
395,1,1,2,2,3,2,3,3
396,1,1,2,2,3,3,1,1
397,1,1,2,2,3,3,1,2
398,1,1,2,2,3,3,1,3
399,1,1,2,2,3,3,2,1
400,1,1,2,2,3,3,2,2
401,1,1,2,2,3,3,2,3
402,1,1,2,2,3,3,3,1
403,1,1,2,2,3,3,3,2
404,1,1,2,2,3,3,3,3
405,1,1,2,3,1,1,1,1
406,1,1,2,3,1,1,1,2
407,1,1,2,3,1,1,1,3
408,1,1,2,3,1,1,2,1
409,1,1,2,3,1,1,2,2
410,1,1,2,3,1,1,2,3
411,1,1,2,3,1,1,3,1
412,1,1,2,3,1,1,3,2
413,1,1,2,3,1,1,3,3
414,1,1,2,3,1,2,1,1
415,1,1,2,3,1,2,1,2
416,1,1,2,3,1,2,1,3
417,1,1,2,3,1,2,2,1
418,1,1,2,3,1,2,2,2
419,1,1,2,3,1,2,2,3
420,1,1,2,3,1,2,3,1
421,1,1,2,3,1,2,3,2
422,1,1,2,3,1,2,3,3
423,1,1,2,3,1,3,1,1
424,1,1,2,3,1,3,1,2
425,1,1,2,3,1,3,1,3
426,1,1,2,3,1,3,2,1
427,1,1,2,3,1,3,2,2
428,1,1,2,3,1,3,2,3
429,1,1,2,3,1,3,3,1
430,1,1,2,3,1,3,3,2
431,1,1,2,3,1,3,3,3
432,1,1,2,3,2,1,1,1
433,1,1,2,3,2,1,1,2
434,1,1,2,3,2,1,1,3
435,1,1,2,3,2,1,2,1
436,1,1,2,3,2,1,2,2
437,1,1,2,3,2,1,2,3
438,1,1,2,3,2,1,3,1
439,1,1,2,3,2,1,3,2
440,1,1,2,3,2,1,3,3
441,1,1,2,3,2,2,1,1
442,1,1,2,3,2,2,1,2
443,1,1,2,3,2,2,1,3
444,1,1,2,3,2,2,2,1
445,1,1,2,3,2,2,2,2
446,1,1,2,3,2,2,2,3
447,1,1,2,3,2,2,3,1
448,1,1,2,3,2,2,3,2
449,1,1,2,3,2,2,3,3
450,1,1,2,3,2,3,1,1
451,1,1,2,3,2,3,1,2
452,1,1,2,3,2,3,1,3
453,1,1,2,3,2,3,2,1
454,1,1,2,3,2,3,2,2
455,1,1,2,3,2,3,2,3
456,1,1,2,3,2,3,3,1
457,1,1,2,3,2,3,3,2
458,1,1,2,3,2,3,3,3
459,1,1,2,3,3,1,1,1
460,1,1,2,3,3,1,1,2
461,1,1,2,3,3,1,1,3
462,1,1,2,3,3,1,2,1
463,1,1,2,3,3,1,2,2
464,1,1,2,3,3,1,2,3
465,1,1,2,3,3,1,3,1
466,1,1,2,3,3,1,3,2
467,1,1,2,3,3,1,3,3
468,1,1,2,3,3,2,1,1
469,1,1,2,3,3,2,1,2
470,1,1,2,3,3,2,1,3
471,1,1,2,3,3,2,2,1
472,1,1,2,3,3,2,2,2
473,1,1,2,3,3,2,2,3
474,1,1,2,3,3,2,3,1
475,1,1,2,3,3,2,3,2
476,1,1,2,3,3,2,3,3
477,1,1,2,3,3,3,1,1
478,1,1,2,3,3,3,1,2
479,1,1,2,3,3,3,1,3
480,1,1,2,3,3,3,2,1
481,1,1,2,3,3,3,2,2
482,1,1,2,3,3,3,2,3
483,1,1,2,3,3,3,3,1
484,1,1,2,3,3,3,3,2
485,1,1,2,3,3,3,3,3
486,1,1,3,1,1,1,1,1
487,1,1,3,1,1,1,1,2
488,1,1,3,1,1,1,1,3
489,1,1,3,1,1,1,2,1
490,1,1,3,1,1,1,2,2
491,1,1,3,1,1,1,2,3
492,1,1,3,1,1,1,3,1
493,1,1,3,1,1,1,3,2
494,1,1,3,1,1,1,3,3
495,1,1,3,1,1,2,1,1
496,1,1,3,1,1,2,1,2
497,1,1,3,1,1,2,1,3
498,1,1,3,1,1,2,2,1
499,1,1,3,1,1,2,2,2
500,1,1,3,1,1,2,2,3
501,1,1,3,1,1,2,3,1
502,1,1,3,1,1,2,3,2
503,1,1,3,1,1,2,3,3
504,1,1,3,1,1,3,1,1
505,1,1,3,1,1,3,1,2
506,1,1,3,1,1,3,1,3
507,1,1,3,1,1,3,2,1
508,1,1,3,1,1,3,2,2
509,1,1,3,1,1,3,2,3
510,1,1,3,1,1,3,3,1
511,1,1,3,1,1,3,3,2
512,1,1,3,1,1,3,3,3
513,1,1,3,1,2,1,1,1
514,1,1,3,1,2,1,1,2
515,1,1,3,1,2,1,1,3
516,1,1,3,1,2,1,2,1
517,1,1,3,1,2,1,2,2
518,1,1,3,1,2,1,2,3
519,1,1,3,1,2,1,3,1
520,1,1,3,1,2,1,3,2
521,1,1,3,1,2,1,3,3
522,1,1,3,1,2,2,1,1
523,1,1,3,1,2,2,1,2
524,1,1,3,1,2,2,1,3
525,1,1,3,1,2,2,2,1
526,1,1,3,1,2,2,2,2
527,1,1,3,1,2,2,2,3
528,1,1,3,1,2,2,3,1
529,1,1,3,1,2,2,3,2
530,1,1,3,1,2,2,3,3
531,1,1,3,1,2,3,1,1
532,1,1,3,1,2,3,1,2
533,1,1,3,1,2,3,1,3
534,1,1,3,1,2,3,2,1
535,1,1,3,1,2,3,2,2
536,1,1,3,1,2,3,2,3
537,1,1,3,1,2,3,3,1
538,1,1,3,1,2,3,3,2
539,1,1,3,1,2,3,3,3
540,1,1,3,1,3,1,1,1
541,1,1,3,1,3,1,1,2
542,1,1,3,1,3,1,1,3
543,1,1,3,1,3,1,2,1
544,1,1,3,1,3,1,2,2
545,1,1,3,1,3,1,2,3
546,1,1,3,1,3,1,3,1
547,1,1,3,1,3,1,3,2
548,1,1,3,1,3,1,3,3
549,1,1,3,1,3,2,1,1
550,1,1,3,1,3,2,1,2
551,1,1,3,1,3,2,1,3
552,1,1,3,1,3,2,2,1
553,1,1,3,1,3,2,2,2
554,1,1,3,1,3,2,2,3
555,1,1,3,1,3,2,3,1
556,1,1,3,1,3,2,3,2
557,1,1,3,1,3,2,3,3
558,1,1,3,1,3,3,1,1
559,1,1,3,1,3,3,1,2
560,1,1,3,1,3,3,1,3
561,1,1,3,1,3,3,2,1
562,1,1,3,1,3,3,2,2
563,1,1,3,1,3,3,2,3
564,1,1,3,1,3,3,3,1
565,1,1,3,1,3,3,3,2
566,1,1,3,1,3,3,3,3
567,1,1,3,2,1,1,1,1
568,1,1,3,2,1,1,1,2
569,1,1,3,2,1,1,1,3
570,1,1,3,2,1,1,2,1
571,1,1,3,2,1,1,2,2
572,1,1,3,2,1,1,2,3
573,1,1,3,2,1,1,3,1
574,1,1,3,2,1,1,3,2
575,1,1,3,2,1,1,3,3
576,1,1,3,2,1,2,1,1
577,1,1,3,2,1,2,1,2
578,1,1,3,2,1,2,1,3
579,1,1,3,2,1,2,2,1
580,1,1,3,2,1,2,2,2
581,1,1,3,2,1,2,2,3
582,1,1,3,2,1,2,3,1
583,1,1,3,2,1,2,3,2
584,1,1,3,2,1,2,3,3
585,1,1,3,2,1,3,1,1
586,1,1,3,2,1,3,1,2
587,1,1,3,2,1,3,1,3
588,1,1,3,2,1,3,2,1
589,1,1,3,2,1,3,2,2
590,1,1,3,2,1,3,2,3
591,1,1,3,2,1,3,3,1
592,1,1,3,2,1,3,3,2
593,1,1,3,2,1,3,3,3
594,1,1,3,2,2,1,1,1
595,1,1,3,2,2,1,1,2
596,1,1,3,2,2,1,1,3
597,1,1,3,2,2,1,2,1
598,1,1,3,2,2,1,2,2
599,1,1,3,2,2,1,2,3
600,1,1,3,2,2,1,3,1
601,1,1,3,2,2,1,3,2
602,1,1,3,2,2,1,3,3
603,1,1,3,2,2,2,1,1
604,1,1,3,2,2,2,1,2
605,1,1,3,2,2,2,1,3
606,1,1,3,2,2,2,2,1
607,1,1,3,2,2,2,2,2
608,1,1,3,2,2,2,2,3
609,1,1,3,2,2,2,3,1
610,1,1,3,2,2,2,3,2
611,1,1,3,2,2,2,3,3
612,1,1,3,2,2,3,1,1
613,1,1,3,2,2,3,1,2
614,1,1,3,2,2,3,1,3
615,1,1,3,2,2,3,2,1
616,1,1,3,2,2,3,2,2
617,1,1,3,2,2,3,2,3
618,1,1,3,2,2,3,3,1
619,1,1,3,2,2,3,3,2
620,1,1,3,2,2,3,3,3
621,1,1,3,2,3,1,1,1
622,1,1,3,2,3,1,1,2
623,1,1,3,2,3,1,1,3
624,1,1,3,2,3,1,2,1
625,1,1,3,2,3,1,2,2
626,1,1,3,2,3,1,2,3
627,1,1,3,2,3,1,3,1
628,1,1,3,2,3,1,3,2
629,1,1,3,2,3,1,3,3
630,1,1,3,2,3,2,1,1
631,1,1,3,2,3,2,1,2
632,1,1,3,2,3,2,1,3
633,1,1,3,2,3,2,2,1
634,1,1,3,2,3,2,2,2
635,1,1,3,2,3,2,2,3
636,1,1,3,2,3,2,3,1
637,1,1,3,2,3,2,3,2
638,1,1,3,2,3,2,3,3
639,1,1,3,2,3,3,1,1
640,1,1,3,2,3,3,1,2
641,1,1,3,2,3,3,1,3
642,1,1,3,2,3,3,2,1
643,1,1,3,2,3,3,2,2
644,1,1,3,2,3,3,2,3
645,1,1,3,2,3,3,3,1
646,1,1,3,2,3,3,3,2
647,1,1,3,2,3,3,3,3
648,1,1,3,3,1,1,1,1
649,1,1,3,3,1,1,1,2
650,1,1,3,3,1,1,1,3
651,1,1,3,3,1,1,2,1
652,1,1,3,3,1,1,2,2
653,1,1,3,3,1,1,2,3
654,1,1,3,3,1,1,3,1
655,1,1,3,3,1,1,3,2
656,1,1,3,3,1,1,3,3
657,1,1,3,3,1,2,1,1
658,1,1,3,3,1,2,1,2
659,1,1,3,3,1,2,1,3
660,1,1,3,3,1,2,2,1
661,1,1,3,3,1,2,2,2
662,1,1,3,3,1,2,2,3
663,1,1,3,3,1,2,3,1
664,1,1,3,3,1,2,3,2
665,1,1,3,3,1,2,3,3
666,1,1,3,3,1,3,1,1
667,1,1,3,3,1,3,1,2
668,1,1,3,3,1,3,1,3
669,1,1,3,3,1,3,2,1
670,1,1,3,3,1,3,2,2
671,1,1,3,3,1,3,2,3
672,1,1,3,3,1,3,3,1
673,1,1,3,3,1,3,3,2
674,1,1,3,3,1,3,3,3
675,1,1,3,3,2,1,1,1
676,1,1,3,3,2,1,1,2
677,1,1,3,3,2,1,1,3
678,1,1,3,3,2,1,2,1
679,1,1,3,3,2,1,2,2
680,1,1,3,3,2,1,2,3
681,1,1,3,3,2,1,3,1
682,1,1,3,3,2,1,3,2
683,1,1,3,3,2,1,3,3
684,1,1,3,3,2,2,1,1
685,1,1,3,3,2,2,1,2
686,1,1,3,3,2,2,1,3
687,1,1,3,3,2,2,2,1
688,1,1,3,3,2,2,2,2
689,1,1,3,3,2,2,2,3
690,1,1,3,3,2,2,3,1
691,1,1,3,3,2,2,3,2
692,1,1,3,3,2,2,3,3
693,1,1,3,3,2,3,1,1
694,1,1,3,3,2,3,1,2
695,1,1,3,3,2,3,1,3
696,1,1,3,3,2,3,2,1
697,1,1,3,3,2,3,2,2
698,1,1,3,3,2,3,2,3
699,1,1,3,3,2,3,3,1
700,1,1,3,3,2,3,3,2
701,1,1,3,3,2,3,3,3
702,1,1,3,3,3,1,1,1
703,1,1,3,3,3,1,1,2
704,1,1,3,3,3,1,1,3
705,1,1,3,3,3,1,2,1
706,1,1,3,3,3,1,2,2
707,1,1,3,3,3,1,2,3
708,1,1,3,3,3,1,3,1
709,1,1,3,3,3,1,3,2
710,1,1,3,3,3,1,3,3
711,1,1,3,3,3,2,1,1
712,1,1,3,3,3,2,1,2
713,1,1,3,3,3,2,1,3
714,1,1,3,3,3,2,2,1
715,1,1,3,3,3,2,2,2
716,1,1,3,3,3,2,2,3
717,1,1,3,3,3,2,3,1
718,1,1,3,3,3,2,3,2
719,1,1,3,3,3,2,3,3
720,1,1,3,3,3,3,1,1
721,1,1,3,3,3,3,1,2
722,1,1,3,3,3,3,1,3
723,1,1,3,3,3,3,2,1
724,1,1,3,3,3,3,2,2
725,1,1,3,3,3,3,2,3
726,1,1,3,3,3,3,3,1
727,1,1,3,3,3,3,3,2
728,1,1,3,3,3,3,3,3
729,1,2,1,1,1,1,1,1
730,1,2,1,1,1,1,1,2
731,1,2,1,1,1,1,1,3
732,1,2,1,1,1,1,2,1
733,1,2,1,1,1,1,2,2
734,1,2,1,1,1,1,2,3
735,1,2,1,1,1,1,3,1
736,1,2,1,1,1,1,3,2
737,1,2,1,1,1,1,3,3
738,1,2,1,1,1,2,1,1
739,1,2,1,1,1,2,1,2
740,1,2,1,1,1,2,1,3
741,1,2,1,1,1,2,2,1
742,1,2,1,1,1,2,2,2
743,1,2,1,1,1,2,2,3
744,1,2,1,1,1,2,3,1
745,1,2,1,1,1,2,3,2
746,1,2,1,1,1,2,3,3
747,1,2,1,1,1,3,1,1
748,1,2,1,1,1,3,1,2
749,1,2,1,1,1,3,1,3
750,1,2,1,1,1,3,2,1
751,1,2,1,1,1,3,2,2
752,1,2,1,1,1,3,2,3
753,1,2,1,1,1,3,3,1
754,1,2,1,1,1,3,3,2
755,1,2,1,1,1,3,3,3
756,1,2,1,1,2,1,1,1
757,1,2,1,1,2,1,1,2
758,1,2,1,1,2,1,1,3
759,1,2,1,1,2,1,2,1
760,1,2,1,1,2,1,2,2
761,1,2,1,1,2,1,2,3
762,1,2,1,1,2,1,3,1
763,1,2,1,1,2,1,3,2
764,1,2,1,1,2,1,3,3
765,1,2,1,1,2,2,1,1
766,1,2,1,1,2,2,1,2
767,1,2,1,1,2,2,1,3
768,1,2,1,1,2,2,2,1
769,1,2,1,1,2,2,2,2
770,1,2,1,1,2,2,2,3
